,0,1,2
0,Manchurian Green Beans with Tofu ,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
1,11 Unique Types of Asian Vegetables and Produce to Try,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
2,"18 Ways to Make Chicken (Yes, Chicken) Exciting (Yes, Exciting) Again","1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
3,Takeout at Home,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
4,The Cai Dao Chronicles,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
5,Spicy Dry-Fried Beef ,"12 ounces lean flank steak 3 tablespoons peanut or vegetable oil 2 cups julienned carrots 1 cup julienned celery 3 small dried red chilies, snipped on one end 2 tablespoons soy sauce 1 tablespoon minced ginger 1 teaspoon minced garlic 2 teaspoons sesame oil 2 scallions, finely shredded 1/2 teaspoon salt 1/8 teaspoon freshly ground pepper",chinese
6,Chinese Five-Spice Steak with Oranges and Sesame Broccolini ,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
7,The Most-Loved Recipes of 2017,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
8,This Is The Best Soy Sauce I've Ever Had,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
9,Weekly Meal Plan: Five Fast Dinners That Are Better Than Takeout,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
10,How to Make Crab Rangoon,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
11,"24 Great Ginger Recipes for Drinks, Soups, Sauces, and Sweets","3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
12,How To Make Sweet And Sour Chicken In 22 Minutes,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
13,Quick Sweet and Sour Chicken ,"6 tablespoons cornstarch 1/2 teaspoon freshly ground black pepper 1 3/4 teaspoons kosher salt, divided 2 pounds boneless, skinless chicken breasts and/or thighs 4 tablespoons vegetable oil, divided 1/2 cup apple cider vinegar 1/4 cup honey 1 cup canned pineapple chunks plus 1/4 cup pineapple juice 3 tablespoons ketchup 2 tablespoons low-sodium soy sauce or tamari 2 teaspoons light brown sugar 1 large garlic clove, finely grated 1/2 medium onion, thinly sliced 1 medium green or red bell pepper, seeds and ribs removed, sliced into 1"" pieces 1 scallion, thinly sliced Cooked white or brown rice (for serving)",chinese
14,Crab Rangoon (Cream Cheese Crab Wonton) ,"8 oz (227 g) lump crab meat or snow crab 16 oz (454 g) cream cheese, room temp 2 green onions (whites only), very finely chopped 2 tbsp (5 g) finely chopped tarragon Salt and pepper 24 wonton skins (square) 1 egg, slightly beaten, for sealing 2 qt (1.9 L) vegetable oil for frying",chinese
15,How to Make General Tso Chicken in 22 Minutes,"8 oz (227 g) lump crab meat or snow crab 16 oz (454 g) cream cheese, room temp 2 green onions (whites only), very finely chopped 2 tbsp (5 g) finely chopped tarragon Salt and pepper 24 wonton skins (square) 1 egg, slightly beaten, for sealing 2 qt (1.9 L) vegetable oil for frying",chinese
16,53 Kid-Friendly Recipes From Around the World,"8 oz (227 g) lump crab meat or snow crab 16 oz (454 g) cream cheese, room temp 2 green onions (whites only), very finely chopped 2 tbsp (5 g) finely chopped tarragon Salt and pepper 24 wonton skins (square) 1 egg, slightly beaten, for sealing 2 qt (1.9 L) vegetable oil for frying",chinese
17,Honey-Garlic Noodles ,"1/3 cup soy sauce 1/2 cup mirin 1 tablespoon toasted sesame oil 4 garlic cloves, minced 1 or 2 fresh bird’s-eye chiles, finely diced 1 tablespoon honey 12 ounces thin egg noodles 2 tablespoons sunflower or vegetable oil 1 tablespoon minced fresh ginger 6 scallions, thinly sliced 2 limes: 1 halved, 1 cut into wedges for serving 1 tablespoon sesame seeds Fresh cilantro or your favorite spicy herbs, for serving",chinese
18,35 Recipes Made With Soy Sauce,"1/3 cup soy sauce 1/2 cup mirin 1 tablespoon toasted sesame oil 4 garlic cloves, minced 1 or 2 fresh bird’s-eye chiles, finely diced 1 tablespoon honey 12 ounces thin egg noodles 2 tablespoons sunflower or vegetable oil 1 tablespoon minced fresh ginger 6 scallions, thinly sliced 2 limes: 1 halved, 1 cut into wedges for serving 1 tablespoon sesame seeds Fresh cilantro or your favorite spicy herbs, for serving",chinese
19,How to Make Better-Than-Takeout Fried Rice in Just 22 Minutes,"1/3 cup soy sauce 1/2 cup mirin 1 tablespoon toasted sesame oil 4 garlic cloves, minced 1 or 2 fresh bird’s-eye chiles, finely diced 1 tablespoon honey 12 ounces thin egg noodles 2 tablespoons sunflower or vegetable oil 1 tablespoon minced fresh ginger 6 scallions, thinly sliced 2 limes: 1 halved, 1 cut into wedges for serving 1 tablespoon sesame seeds Fresh cilantro or your favorite spicy herbs, for serving",chinese
20,How to Make Fried Rice Without a Recipe,"1/3 cup soy sauce 1/2 cup mirin 1 tablespoon toasted sesame oil 4 garlic cloves, minced 1 or 2 fresh bird’s-eye chiles, finely diced 1 tablespoon honey 12 ounces thin egg noodles 2 tablespoons sunflower or vegetable oil 1 tablespoon minced fresh ginger 6 scallions, thinly sliced 2 limes: 1 halved, 1 cut into wedges for serving 1 tablespoon sesame seeds Fresh cilantro or your favorite spicy herbs, for serving",chinese
21,Our Food Editor's Favorite Fast Dinners,"1/3 cup soy sauce 1/2 cup mirin 1 tablespoon toasted sesame oil 4 garlic cloves, minced 1 or 2 fresh bird’s-eye chiles, finely diced 1 tablespoon honey 12 ounces thin egg noodles 2 tablespoons sunflower or vegetable oil 1 tablespoon minced fresh ginger 6 scallions, thinly sliced 2 limes: 1 halved, 1 cut into wedges for serving 1 tablespoon sesame seeds Fresh cilantro or your favorite spicy herbs, for serving",chinese
22,Shun Fat Supermarket Is the Pan-Asian Market of Your Dreams,"1/3 cup soy sauce 1/2 cup mirin 1 tablespoon toasted sesame oil 4 garlic cloves, minced 1 or 2 fresh bird’s-eye chiles, finely diced 1 tablespoon honey 12 ounces thin egg noodles 2 tablespoons sunflower or vegetable oil 1 tablespoon minced fresh ginger 6 scallions, thinly sliced 2 limes: 1 halved, 1 cut into wedges for serving 1 tablespoon sesame seeds Fresh cilantro or your favorite spicy herbs, for serving",chinese
23,Easy Fried Rice with Chicken and Broccolini ,"1/4 cup vegetable oil, divided 4 scallions, sliced on the bias, divided 1 pound chicken cutlets, cut into 1/2"" slices 1 1/4 teaspoon kosher salt, divided 1/2 teaspoon freshly ground black pepper 2 garlic cloves, finely grated or pressed 1 teaspoon finely grated ginger 1 bunch broccolini (about 6 ounces), ends trimmed, sliced in half lengthwise if stalks are thick 4 cups cooked white rice (preferably day-old, long-or medium-grain) 3 large eggs, beaten to blend 1 cup snow peas 1/2 cup frozen edamame or green peas 3 tablespoons low-sodium soy sauce or tamari 2 tablespoons fresh orange juice (from about 1/2 orange) Chili or sesame oil (optional; for serving)",chinese
24,"5 New, Easy, Globally Inspired Weeknight Dinners","1/4 cup vegetable oil, divided 4 scallions, sliced on the bias, divided 1 pound chicken cutlets, cut into 1/2"" slices 1 1/4 teaspoon kosher salt, divided 1/2 teaspoon freshly ground black pepper 2 garlic cloves, finely grated or pressed 1 teaspoon finely grated ginger 1 bunch broccolini (about 6 ounces), ends trimmed, sliced in half lengthwise if stalks are thick 4 cups cooked white rice (preferably day-old, long-or medium-grain) 3 large eggs, beaten to blend 1 cup snow peas 1/2 cup frozen edamame or green peas 3 tablespoons low-sodium soy sauce or tamari 2 tablespoons fresh orange juice (from about 1/2 orange) Chili or sesame oil (optional; for serving)",chinese
25,Easy General Tso's Chicken ,"1 pound green beans, trimmed 7 tablespoons vegetable oil, divided 2 1/4 teaspoons kosher salt, divided 1 teaspoon freshly ground black pepper, divided 1/4 cup plus 2 tablespoons cornstarch 2 pounds boneless, skinless chicken thighs, breasts, or a mix, patted dry, cut into 1"" chunks 1/4 cup plus 1 tablespoon honey 1/4 cup low-sodium soy sauce 1 large garlic clove, finely grated 3 tablespoons unseasoned rice vinegar 1 tablespoon Sriracha 1 tablespoon tomato paste 1 teaspoon finely grated ginger 6 (or more) dried whole red chiles, such as chiles de árbol 1 scallion, thinly sliced Cooked rice (for serving)",chinese
26,This Cozy Slow-Cooker Dish Is Getting Us Through Winter,"1 pound green beans, trimmed 7 tablespoons vegetable oil, divided 2 1/4 teaspoons kosher salt, divided 1 teaspoon freshly ground black pepper, divided 1/4 cup plus 2 tablespoons cornstarch 2 pounds boneless, skinless chicken thighs, breasts, or a mix, patted dry, cut into 1"" chunks 1/4 cup plus 1 tablespoon honey 1/4 cup low-sodium soy sauce 1 large garlic clove, finely grated 3 tablespoons unseasoned rice vinegar 1 tablespoon Sriracha 1 tablespoon tomato paste 1 teaspoon finely grated ginger 6 (or more) dried whole red chiles, such as chiles de árbol 1 scallion, thinly sliced Cooked rice (for serving)",chinese
27,Slow-Cooker Chicken Congee ,"2 pounds boneless, skinless chicken thighs 8 cups chicken stock 1 cup long-grain rice 3 small dried red chiles, such as Thai or chile de arbol 1 (3"") piece ginger, thinly sliced 2 garlic cloves, pressed 1 1/2 teaspoons kosher salt Cubed avocado, lime wedges, cilantro, sliced jalapeño, sliced scallions, chopped roasted, salted peanuts, chili oil, fish sauce, hot sauce, soy sauce, and/or crispy fried shallots (for serving; choose as many as you like)",chinese
28,"Kale, Snow Pea, and Pork Dumplings ","2 1/2 cups finely shredded kale leaves 3 1/2 ounces snow peas, trimmed and finely chopped 2 tablespoons finely chopped water chestnuts 1/2 cup cilantro leaves, chopped 2 tablespoons chopped garlic chives 1 teaspoon finely grated ginger 1 tablespoon mirin (Japanese rice wine) 1 teaspoon sesame oil 1/3 pound ground pork Sea salt and cracked black pepper 30 wonton wrappers Scallions, thinly sliced, to serve Chili sauce and Chinese black vinegar, to serve",chinese
29,"Getting to Know Chinese Lettuce, aka Stem Lettuce, aka Celtuce","2 1/2 cups finely shredded kale leaves 3 1/2 ounces snow peas, trimmed and finely chopped 2 tablespoons finely chopped water chestnuts 1/2 cup cilantro leaves, chopped 2 tablespoons chopped garlic chives 1 teaspoon finely grated ginger 1 tablespoon mirin (Japanese rice wine) 1 teaspoon sesame oil 1/3 pound ground pork Sea salt and cracked black pepper 30 wonton wrappers Scallions, thinly sliced, to serve Chili sauce and Chinese black vinegar, to serve",chinese
30,This Is the Absolute Best Dish to Make for Lunar New Year,"2 1/2 cups finely shredded kale leaves 3 1/2 ounces snow peas, trimmed and finely chopped 2 tablespoons finely chopped water chestnuts 1/2 cup cilantro leaves, chopped 2 tablespoons chopped garlic chives 1 teaspoon finely grated ginger 1 tablespoon mirin (Japanese rice wine) 1 teaspoon sesame oil 1/3 pound ground pork Sea salt and cracked black pepper 30 wonton wrappers Scallions, thinly sliced, to serve Chili sauce and Chinese black vinegar, to serve",chinese
31,Have You Been Brewing Green Tea Wrong This Whole Time?,"2 1/2 cups finely shredded kale leaves 3 1/2 ounces snow peas, trimmed and finely chopped 2 tablespoons finely chopped water chestnuts 1/2 cup cilantro leaves, chopped 2 tablespoons chopped garlic chives 1 teaspoon finely grated ginger 1 tablespoon mirin (Japanese rice wine) 1 teaspoon sesame oil 1/3 pound ground pork Sea salt and cracked black pepper 30 wonton wrappers Scallions, thinly sliced, to serve Chili sauce and Chinese black vinegar, to serve",chinese
32,Soy Sauce Chicken ,"1 (3 1/4-lb/1.5-kg) whole chicken 1 tablespoon dark soy sauce 2 cups (16 fl oz/475 ml) vegetable oil 1/2 cup (4 fl oz/120 ml) light soy sauce 4 oz/120 g rock sugar 2 star anise 3/4 oz/20 g ginger (about 1-inch/2.5-cm-length piece), sliced Steamed rice, to serve",chinese
33,How to Hack a Bamboo Steamer Basket Out Of a Pie Plate,"1 (3 1/4-lb/1.5-kg) whole chicken 1 tablespoon dark soy sauce 2 cups (16 fl oz/475 ml) vegetable oil 1/2 cup (4 fl oz/120 ml) light soy sauce 4 oz/120 g rock sugar 2 star anise 3/4 oz/20 g ginger (about 1-inch/2.5-cm-length piece), sliced Steamed rice, to serve",chinese
34,The 24 Best Cookbooks of 2016,"1 (3 1/4-lb/1.5-kg) whole chicken 1 tablespoon dark soy sauce 2 cups (16 fl oz/475 ml) vegetable oil 1/2 cup (4 fl oz/120 ml) light soy sauce 4 oz/120 g rock sugar 2 star anise 3/4 oz/20 g ginger (about 1-inch/2.5-cm-length piece), sliced Steamed rice, to serve",chinese
35,Stir-Fried Chicken With Black Beans ,"2 tablespoons fermented black beans 2 tablespoons rice wine, dry sherry, or white wine 1/4 cup peanut or neutral oil, like grapeseed or corn 2 tablespoons minced garlic 1 tablespoon grated fresh ginger 1 cup sliced onion 1 pound boneless, skinless chicken breast or thighs, cut into 1/2- to 3/4-inch chunks or thin slices and blotted dry 1/4 cup chopped scallion, plus more for garnish 1 teaspoon sugar (optional) 2 tablespoons soy sauce Salt and freshly ground black pepper 1/4 cup chicken or vegetable stock, white wine, or water 1 tablespoon dark sesame oil",chinese
36,Green Beans With Mushroom XO Sauce ,"2 pounds green beans, divided Kosher salt 5 tablespoons mushroom soy sauce or 3 tablespoons regular soy sauce 2 tablespoons black (Chinkiang) vinegar 2 tablespoons unseasoned rice vinegar 1 tablespoon sugar 2 tablespoons vegetable oil, divided 4 ounces king trumpet or maitake mushrooms, caps sliced, stalks coarsely chopped 4 ounces shiitake mushrooms, sliced 1/4 cup brandy 1 shallot, very thinly sliced 1 Fresno chile, thinly sliced 2 garlic cloves, thinly sliced 2 tablespoons small dried shrimp or a splash of fish sauce 4 scallions, green parts only, thinly sliced on a diagonal, divided 1 tablespoon chile oil",chinese
37,Weeknight Mapo Tofu with Ground Pork ,"2 tablespoons vegetable oil 8 ounces ground pork 1 jalapeño, thinly sliced 4 garlic cloves, sliced 1 (1 1/2-inch) piece ginger, peeled, finely chopped 4 scallions, chopped, plus more for serving 1 tablespoon tomato paste 1 teaspoon ground Sichuan peppercorns or freshly ground black pepper 2 cups low-sodium chicken broth 3 tablespoons Chinese black bean garlic sauce 1 tablespoon cornstarch 1 pound silken tofu, drained, cut into 1-inch pieces Torn basil leaves and steamed white rice (for serving)",chinese
38,Turkey Congee With Crispy Shiitake Mushrooms ,"1 (3–4-pound) turkey carcass 1 medium onion, unpeeled, quartered 1 (2-inch) piece ginger, peeled, thinly sliced 1 (2-inch) piece cinnamon, whacked into pieces 1 star anise pod 1/2 cup long-grain rice, rinsed well Kosher salt 3 tablespoons vegetable oil 6 ounces shiitake mushrooms, stems removed, thinly sliced 1 tablespoon soy sauce Freshly ground black pepper Cilantro leaves with tender stems and chili oil (for serving)",chinese
39,Chinese New Year Feast,"1 (3–4-pound) turkey carcass 1 medium onion, unpeeled, quartered 1 (2-inch) piece ginger, peeled, thinly sliced 1 (2-inch) piece cinnamon, whacked into pieces 1 star anise pod 1/2 cup long-grain rice, rinsed well Kosher salt 3 tablespoons vegetable oil 6 ounces shiitake mushrooms, stems removed, thinly sliced 1 tablespoon soy sauce Freshly ground black pepper Cilantro leaves with tender stems and chili oil (for serving)",chinese
40,The Truth About Cooking With MSG at Home,"1 (3–4-pound) turkey carcass 1 medium onion, unpeeled, quartered 1 (2-inch) piece ginger, peeled, thinly sliced 1 (2-inch) piece cinnamon, whacked into pieces 1 star anise pod 1/2 cup long-grain rice, rinsed well Kosher salt 3 tablespoons vegetable oil 6 ounces shiitake mushrooms, stems removed, thinly sliced 1 tablespoon soy sauce Freshly ground black pepper Cilantro leaves with tender stems and chili oil (for serving)",chinese
41,Is This the Best Chinese Cookbook Ever Written?,"1 (3–4-pound) turkey carcass 1 medium onion, unpeeled, quartered 1 (2-inch) piece ginger, peeled, thinly sliced 1 (2-inch) piece cinnamon, whacked into pieces 1 star anise pod 1/2 cup long-grain rice, rinsed well Kosher salt 3 tablespoons vegetable oil 6 ounces shiitake mushrooms, stems removed, thinly sliced 1 tablespoon soy sauce Freshly ground black pepper Cilantro leaves with tender stems and chili oil (for serving)",chinese
42,Easy Beef Lo Mein ,"8 ounces lo mein noodles or spaghetti 1/2 teaspoon kosher salt, plus more 1/2 cup oyster sauce 1/4 cup low-sodium soy sauce 1/4 cup rice wine vinegar 3 tablespoons honey 1 1/2 pounds flank steak, chilled 1/2 teaspoon freshly ground black pepper, plus more 2 tablespoons plus 1 teaspoon toasted sesame oil, divided 2 large garlic cloves, pressed with a garlic press or finely chopped 1 1/2 teaspoons finely grated ginger 3 scallions, thinly sliced, divided 8 ounces snow peas 1 medium red bell pepper, cut into 1/4""-thick strips",chinese
43,How to Make Better-Than-Delivery Beef Lo Mein,"8 ounces lo mein noodles or spaghetti 1/2 teaspoon kosher salt, plus more 1/2 cup oyster sauce 1/4 cup low-sodium soy sauce 1/4 cup rice wine vinegar 3 tablespoons honey 1 1/2 pounds flank steak, chilled 1/2 teaspoon freshly ground black pepper, plus more 2 tablespoons plus 1 teaspoon toasted sesame oil, divided 2 large garlic cloves, pressed with a garlic press or finely chopped 1 1/2 teaspoons finely grated ginger 3 scallions, thinly sliced, divided 8 ounces snow peas 1 medium red bell pepper, cut into 1/4""-thick strips",chinese
44,"Rice Cakes With Salted Shanghainese Greens, Bamboo Shoots, and Green Soybeans ","3 tablespoons peanut or vegetable oil 4 green onions, trimmed and chopped 1 winter bamboo shoot, defrosted if frozen and peeled and blanched if fresh, cut into julienne (about 1 cup) 1 cup shelled green soybeans (edamame), defrosted About 1 cup (6 ounces) chopped salted Shanghainese
greens (or store-bought), rinsed, squeezed dry, and any large pieces chopped (see note) 12 ounces (about 2 1/4 cups) sliced Ningbo-style rice cakes, slices separated, if necessary 2 tablespoons Shaoxing rice wine 1 cup boiling water",chinese
