,0,1,2
45,This Secret Sauce From D.C. Belongs on Everything,"3 tablespoons peanut or vegetable oil 4 green onions, trimmed and chopped 1 winter bamboo shoot, defrosted if frozen and peeled and blanched if fresh, cut into julienne (about 1 cup) 1 cup shelled green soybeans (edamame), defrosted About 1 cup (6 ounces) chopped salted Shanghainese
greens (or store-bought), rinsed, squeezed dry, and any large pieces chopped (see note) 12 ounces (about 2 1/4 cups) sliced Ningbo-style rice cakes, slices separated, if necessary 2 tablespoons Shaoxing rice wine 1 cup boiling water",chinese
46,5 Fast Chicken-Breast Dinners,"3 tablespoons peanut or vegetable oil 4 green onions, trimmed and chopped 1 winter bamboo shoot, defrosted if frozen and peeled and blanched if fresh, cut into julienne (about 1 cup) 1 cup shelled green soybeans (edamame), defrosted About 1 cup (6 ounces) chopped salted Shanghainese
greens (or store-bought), rinsed, squeezed dry, and any large pieces chopped (see note) 12 ounces (about 2 1/4 cups) sliced Ningbo-style rice cakes, slices separated, if necessary 2 tablespoons Shaoxing rice wine 1 cup boiling water",chinese
47,Crudités With Bacon XO Sauce ,"4 slices bacon 1 cup vegetable oil 6 ounces shiitake mushrooms, stems removed, finely chopped (about 2 1/2 cups) 2 scallions, thinly sliced 1 medium shallot, finely chopped 5 salt-packed anchovies, rinsed, chopped 3 red Thai chiles, seeds removed, finely chopped 3 garlic cloves, finely chopped 1 (1-inch) piece ginger, finely chopped 1/2 teaspoon toasted sesame oil 1/4 teaspoon kosher salt 8 ounces haricots verts or green beans, trimmed 4 (3/4-inch–thick) slices country-style bread 2 tablespoons olive oil 2 small bunches carrots, any color, scrubbed, tops trimmed, halved if large 1 fennel bulb, cut into 1/2-inch wedges 1 teaspoon finely grated lime zest 2 tablespoons fresh lime juice 1 pound cooked fingerling potatoes, halved lengthwise",chinese
48,Shrimp Toasts With Sesame Seeds and Scallions ,"10 ounces shrimp, peeled, deveined 2 tablespoons hot chile paste (such as sambal oelek) 2 teaspoons finely grated lemongrass 2 teaspoons fish sauce (such as nam pla or nuoc nam) 1 teaspoon finely grated peeled ginger Kosher salt 2 scallions, green and white parts separated, thinly sliced crosswise 1/4 cup white sesame seeds 4 slices white bread, 1/4 inch thick, crusts removed Vegetable oil (for frying; about 1 cup)",chinese
49,Stir-Fried Asparagus With Bacon and Crispy Shallots ,"1/4 cup black vinegar 1/4 cup sherry vinegar 2 small shallots, thinly sliced into rings 4 ounces slab bacon, cut into 1x1/4-inch pieces 1 tablespoon vegetable oil, plus more for frying (about 3 cups) 1/4 cup all-purpose flour 1/4 cup fine-grind cornmeal Kosher salt 1 pound asparagus, trimmed, thinly sliced on a diagonal 1 tablespoon white soy sauce A deep-fry thermometer",chinese
50,How to Throw a Hot Pot Party—With a Slow Cooker!,"1/4 cup black vinegar 1/4 cup sherry vinegar 2 small shallots, thinly sliced into rings 4 ounces slab bacon, cut into 1x1/4-inch pieces 1 tablespoon vegetable oil, plus more for frying (about 3 cups) 1/4 cup all-purpose flour 1/4 cup fine-grind cornmeal Kosher salt 1 pound asparagus, trimmed, thinly sliced on a diagonal 1 tablespoon white soy sauce A deep-fry thermometer",chinese
51,10 Asian Sauces You Need in Your Pantry,"1/4 cup black vinegar 1/4 cup sherry vinegar 2 small shallots, thinly sliced into rings 4 ounces slab bacon, cut into 1x1/4-inch pieces 1 tablespoon vegetable oil, plus more for frying (about 3 cups) 1/4 cup all-purpose flour 1/4 cup fine-grind cornmeal Kosher salt 1 pound asparagus, trimmed, thinly sliced on a diagonal 1 tablespoon white soy sauce A deep-fry thermometer",chinese
52,"How to Make Lighter, Fresher Sesame Chicken at Home","1/4 cup black vinegar 1/4 cup sherry vinegar 2 small shallots, thinly sliced into rings 4 ounces slab bacon, cut into 1x1/4-inch pieces 1 tablespoon vegetable oil, plus more for frying (about 3 cups) 1/4 cup all-purpose flour 1/4 cup fine-grind cornmeal Kosher salt 1 pound asparagus, trimmed, thinly sliced on a diagonal 1 tablespoon white soy sauce A deep-fry thermometer",chinese
53,Make 3-Ingredient Fortune Cookies at Home,"1/4 cup black vinegar 1/4 cup sherry vinegar 2 small shallots, thinly sliced into rings 4 ounces slab bacon, cut into 1x1/4-inch pieces 1 tablespoon vegetable oil, plus more for frying (about 3 cups) 1/4 cup all-purpose flour 1/4 cup fine-grind cornmeal Kosher salt 1 pound asparagus, trimmed, thinly sliced on a diagonal 1 tablespoon white soy sauce A deep-fry thermometer",chinese
54,3-Ingredient Homemade Fortune Cookies ,"4 tablespoons salted butter, melted, plus more for tin 12 fresh wonton wrappers 12 small strips of paper with handwritten fortunes 2 tablespoons sugar A 12-cup muffin tin",chinese
55,Two New Cookbooks to Beat the Winter Blues,"4 tablespoons salted butter, melted, plus more for tin 12 fresh wonton wrappers 12 small strips of paper with handwritten fortunes 2 tablespoons sugar A 12-cup muffin tin",chinese
56,"The Easiest, Most Impressive Way to Use Cucumbers","4 tablespoons salted butter, melted, plus more for tin 12 fresh wonton wrappers 12 small strips of paper with handwritten fortunes 2 tablespoons sugar A 12-cup muffin tin",chinese
57,Chineasy Cucumber Salad ,"1 tablespoon Chinkiang vinegar 1 teaspoon Sichuan chili oil 1 teaspoon sesame oil 1 teaspoon turbinado sugar 1/4 teaspoon Kosher salt 3 Persian or Kirby cucumbers or 1 English cucumber 1 teaspoon toasted sesame seeds 2 tablespoons roasted unsalted peanuts, crushed 2 tablespoons cilantro leaves",chinese
58,American Food Today With the Mission Chinese and Lucky Peach Cookbooks,"1 tablespoon Chinkiang vinegar 1 teaspoon Sichuan chili oil 1 teaspoon sesame oil 1 teaspoon turbinado sugar 1/4 teaspoon Kosher salt 3 Persian or Kirby cucumbers or 1 English cucumber 1 teaspoon toasted sesame seeds 2 tablespoons roasted unsalted peanuts, crushed 2 tablespoons cilantro leaves",chinese
59,Crispy Chicken Wings ,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
60,The New International Freezer Pantry,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
61,How to Buy Soy Sauce Like a Pro,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
62,4 Rules of Perfect Fried Rice,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
63,16 Reasons to Drop That Takeout Menu,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
64,Do You Absolutely Need a Wok to Stir Fry?,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
65,The Only 3 Folding Techniques You Need to Make Dumplings at Home,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
66,How to Fold a Traditional Pleated Chinese Dumpling,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
67,10 Lucky Lunar New Year Recipes,"2 1/4 pounds chicken wings 1/4 cup cornstarch 2 tablespoons vegetable oil 1 tablespoon sea salt 1/2 teaspoon Chinese five-spice powder 1 teaspoon dried chili flakes Hot chili sauce, pickled chili, thinly sliced fresh chili and chili mayonnaise (optional), to serve",chinese
68,Kung Pao Brussels Sprouts ,"2 pounds brussels sprouts, halved 5 tablespoons vegetable oil, divided Kosher salt, freshly ground pepper 1 tablespoon cornstarch 3 garlic cloves, finely chopped 2 tablespoons finely chopped peeled ginger 2 tablespoons hot chili paste (sambal oelek) 6 dried chiles de arbol, lightly crushed 1/2 cup soy sauce 3 tablespoons sugar 2 teaspoons unseasoned rice vinegar 1/3 cup unsalted, roasted peanuts",chinese
69,This Upgraded Lo Mein Will Beat Your Chinese Delivery Spot Any Night of the Week,"2 pounds brussels sprouts, halved 5 tablespoons vegetable oil, divided Kosher salt, freshly ground pepper 1 tablespoon cornstarch 3 garlic cloves, finely chopped 2 tablespoons finely chopped peeled ginger 2 tablespoons hot chili paste (sambal oelek) 6 dried chiles de arbol, lightly crushed 1/2 cup soy sauce 3 tablespoons sugar 2 teaspoons unseasoned rice vinegar 1/3 cup unsalted, roasted peanuts",chinese
70,Pigs-in-a-Blanket with Hoisin and Scallion ,"1 large egg One 14- to 17-ounce box of puff pastry (preferably all-butter puff), thawed according to package directions Chinese five-spice powder, for sprinkling 2 pounds fully cooked pork breakfast sausage (preferably unflavored), halved lengthwise if thick, and cut into 32 pieces (about 2 1/2 inches each) 3 tablespoons hoisin sauce 2 scallions, thinly sliced Sesame seeds, for sprinkling",chinese
71,Sticky Rice Stuffing with Chinese Sausage and Shiitakes ,"2 1/2 cups Thai long grain sticky rice, or regular short-grain sticky rice 1/3 cup pine nuts 1/4 cup vegetable oil 2 large shallots, sliced into 1/4"" rings 1/2 pound shiitakes mushrooms, stemmed and coarsely chopped 6 ounces Chinese sausage (about 4 links), sliced (about 1 1/2 cups) 1/4 cup Shaoxing Chinese wine or dry sherry 3 tablespoons soy sauce 1 cup jarred peeled roasted chestnuts, roughly chopped 2 1/2 cups low-sodium chicken broth or water Kosher salt 2 scallions, thinly sliced, for garnish 12-inch cast iron skillet",chinese
72,Long Bean Salad ,"1/2 cup unsweetened coconut flakes 1 bunch watercress, tough stems removed, cut into 2"" lengths (about 5 cups) Kosher salt 3/4 pound Chinese long beans or green beans, trimmed, cut into 1"" pieces 2 tablespoons fish sauce 2 tablespoons fresh lime juice 1 tablespoon coconut sugar or brown sugar 1/2 small red onion, thinly sliced 1 tablespoon thinly sliced kaffir lime leaves or 1 teaspoon finely grated lime zest 1/4 cup coarsely chopped roasted peanuts, preferably unsalted",chinese
73,New Year's Rice Cake ,"1 pound glutinous rice flour (also called sweet rice flour) 1 1/4 cups sugar 1 tablespoon baking powder 1/4 cup dried cherries 1/4 cup chopped candied pineapple 1/4 cup dried dates 1/4 cup chopped nuts 3 large organic eggs 3/4 cup extra-virgin olive oil 1 1/2 cups water Raisins, nuts, and dried cherries, for decoration",chinese
74,Kung Pao Chicken ,"1 tablespoon soy sauce 2 teaspoons Chinese rice wine or dry sherry 1 1/2 teaspoons cornstarch 1 pound boneless, skinless, chicken breasts or thighs, cut into 1-inch cubes 1 tablespoon Chinese black vinegar, or substitute good-quality balsamic vinegar 1 teaspoon soy sauce 1 teaspoon hoisin sauce 1 teaspoon sesame oil 2 teaspoons sugar 1 teaspoon cornstarch 1/2 teaspoon ground Sichuan pepper 2 tablespoons peanut or vegetable oil 8 to 10 dried red chilies 3 scallions, white and green parts separated, thinly sliced 2 garlic cloves, minced 1 teaspoon minced or grated fresh ginger 1/4 cup unsalted dry-roasted peanuts",chinese
75,Sweet and Sour Pork ,"2 large eggs, beaten 1/4 cup cornstarch 1/4 cup all-purpose flour 1 pound boneless pork loin, cut into1-inch pieces 3 tablespoons water 2 tablespoons ketchup 2 tablespoons fresh pineapple juice, or juice from the canned pineapple, or substitute orange juice 1 1/2 tablespoons cider vinegar 1 tablespoon Worcestershire sauce 1 tablespoon soy sauce 2 tablespoons sugar 2 cups peanut or vegetable oil for frying, plus 1 tablespoon for stir-frying 1 tablespoon minced garlic 1 teaspoon minced fresh ginger 1 cup fresh or canned bite-size pineapple chunks Instant-read oil thermometer",chinese
76,Stir-Fried Sesame Baby Bok Choy ,"1 pound baby bok choy 1 1/2 tablespoons soy sauce 1 tablespoon Chinese rice wine or dry sherry 1/2 teaspoon sugar 1 tablespoon peanut or vegetable oil 1 garlic clove, minced 1 1-inch piece fresh ginger, peeled and minced 2 teaspoons sesame oil",chinese
77,Sesame Noodles with Chili Oil and Scallions ,"4 scallions, whites and greens separated, thinly sliced 1/2 cup vegetable oil 1 tablespoon crushed red pepper flakes 2 teaspoons sesame seeds 2 teaspoons Sichuan pepper, coarsely chopped 12 ounces thin ramen noodles or spaghettini Kosher salt 1/4 cup tahini (sesame seed paste) 1/4 cup unseasoned rice vinegar 3 tablespoons reduced-sodium soy sauce 2 teaspoons toasted sesame oil 1 teaspoon sugar ingredient info: Sichuan pepper is available at Asian markets and some specialty foods stores. If you can't find it, add an extra teaspoon each of red pepper and tahini.",chinese
78,Chinese Orange Chicken ,"1 pound boneless, skinless chicken thighs, patted dry and cut into 1 1/2-inch pieces 1 teaspoon soy sauce 1 teaspoon Chinese Shaoxing wine or dry sherry 1/2 cup cornstarch About 2 cups canola oil for frying 2 oranges 2 teaspoons cornstarch 1 tablespoon canola oil 2 cloves garlic, minced 2 teaspoons minced peeled fresh ginger (from 1-inch piece) 1/8 to 1/4 teaspoon crushed red pepper 1 tablespoon low-sodium soy sauce 1 teaspoon Chinese Shaoxing wine or dry sherry 1 teaspoon rice vinegar (not seasoned) or cider vinegar 2 tablespoons sugar Thinly sliced scallion greens, for garnish Thinly sliced fresh red chile, for garnish (optional) Cooked rice for serving Equipment: 10-inch cast-iron skillet or other high-sided skillet (at least 2 inches deep), deep-fry thermometer, Microplane (for optional garnish)",chinese
79,Zesty Halibut in Soy-Ginger Dressing ,"1 (2-pound) skin-on halibut fillet, rinsed and patted dry 1 green bell pepper, seeded and cut lengthwise into long, thin strips 1 red bell pepper, seeded and cut lengthwise into long, thin strips 1 yellow bell pepper, seeded and cut lengthwise into long, thin strips 1 medium onion, thinly sliced 1 tablespoon grated fresh ginger 2 teaspoons soy sauce 1/4 cup freshly squeezed orange juice 1 tablespoon finely grated orange zest 2 scallions (dark green part only), chopped, for garnish",chinese
80,Spring Soup ,"1 turnip, cut into thin 1-inch strips 2 stalks celery, cut into thin 1-inch strips 1 carrot, cut into thin 1-inch strips 1 scallion, cut into thin 1-inch strips 1/2 pound watercress 3 quarter-size slices of fresh ginger, peeled and cut crosswise into very thin strips 1 cooked chicken breast or 1/4 pound extra-firm tofu, cut into 1-inch cubes 2 cups chicken or vegetable stock 2 cups water Salt",chinese
81,Buddha's Delight ,"8 dried shiitake mushrooms 8 dried lily buds 1/4 cup bamboo shoots (fresh or canned) 1/2 cup snow peas 1/4 cup canned water chestnuts 4 ounces bean thread noodles 1/2 pound extra-firm tofu 2 cups vegetable broth 3 tablespoons soy sauce 1 1/2 tablespoons hoisin sauce 1 tablespoon sesame oil 1 tablespoon light brown sugar 1 tablespoon peanut or vegetable oil 1 1/2 teaspoons minced fresh ginger 1 cup shredded napa cabbage Wok with lid, Dutch oven, or a deep 14-inch skillet",chinese
82,Chinese Butter Cookies ,"12 tablespoons (1 1/2 sticks) unsalted butter, softened 3/4 cup confectioners' sugar 1 large egg 1/2 teaspoon pure vanilla extract 1 1/2 cups self-rising flour Mixer with paddle attachment Cookie press",chinese
83,Roast Pork Lo Mein ,"12 ounces, thin dried Chinese egg noodles 2 tablespoons sesame oil 3 tablespoons soy sauce 1 1/2 tablespoons oyster sauce 1 1/2 tablespoons Chinese rice wine or dry sherry 1 1/2 teaspoons honey 1 tablespoon peanut or vegetable oil 1 1/2 teaspoons minced garlic 1 teaspoon minced or grated fresh ginger 3 scallions, cut into 2-inch lengths 4 or 5 fresh shiitake mushrooms, thinly sliced 1/2 pound Chinese barbecued pork, store-bought or homemade, cut into small, bite-sized pieces",chinese
84,Braised Trout in Chilli Bean Sauce (Dou Ban Yu) ,"1 rainbow trout (about 3/4 lb/350g), scaled and cleaned, but with head and tail intact Salt 1 tbsp Shaoxing wine 1/2 cup (100ml) cooking oil, plus 2-3 tbsp more 2 1/2 tbsp Sichuan chilli bean paste 2 tsp finely chopped ginger 4 tsp finely chopped garlic 3/4 cup (200ml) chicken stock 1 tsp light soy sauce, to taste 2 tsp potato flour dissolved in 1 1/2 tbsp cold water 3-4 tbsp finely sliced spring onion greens 1 tsp sesame oil",chinese
85,"To Form ""Water Caltrop"" Wontons ","1 rainbow trout (about 3/4 lb/350g), scaled and cleaned, but with head and tail intact Salt 1 tbsp Shaoxing wine 1/2 cup (100ml) cooking oil, plus 2-3 tbsp more 2 1/2 tbsp Sichuan chilli bean paste 2 tsp finely chopped ginger 4 tsp finely chopped garlic 3/4 cup (200ml) chicken stock 1 tsp light soy sauce, to taste 2 tsp potato flour dissolved in 1 1/2 tbsp cold water 3-4 tbsp finely sliced spring onion greens 1 tsp sesame oil",chinese
86,Sichuanese Wontons in Chilli Oil Sauce (Hong You Chao Shou) ,"1/2 oz (20g) piece of ginger, unpeeled 5 oz (150g) ground pork 1/2 egg, beaten 1 tsp Shaoxing wine 1/2 tsp sesame oil Salt Ground white pepper 3 tbsp chicken stock 3 tbsp finely sliced spring onion greens 7 oz (200g) package of wonton wrappers Flour, to dust 3-4 tbsp sweet aromatic soy sauce, or 3-4 tbsp light or tamari soy sauce with 1 1/2-2 tsp sugar 5-6 tbsp chilli oil, with its sediment 2-4 heaped tsp crushed garlic 2 tbsp finely sliced spring onion greens",chinese
87,Red-Braised Pork (Hong Shao Rou) ,"1 1/4 lb (500g) boneless pork belly, with skin, or shoulder 2 tbsp cooking oil 4 slices of unpeeled ginger 1 spring onion, white part only, crushed slightly 2 tbsp Shaoxing wine 2 cups plus 2 tbsp (500ml) chicken stock or water, plus more if needed 1 star anise Small piece of cassia bark or cinnamon stick Dash of dark soy sauce 2 tbsp sugar Salt, to taste A few lengths of spring onion greens, to garnish",chinese
88,Chinese Trinidadian Stir-Fried Shrimp with Rum ,"1 pound large shrimp Juice of 1/2 lime 3 tablespoons ketchup 3 tablespoons dark Jamaican rum 2 teaspoons soy sauce 1/4 teaspoon ground white pepper 2 tablespoons peanut or vegetable oil 1 tablespoon minced garlic 1 tablespoon minced ginger 1/2 teaspoon salt 1 medium ripe tomato, cut into thin wedges 1 large green bell pepper, cut into thin strips 1 small onion, cut into thin wedges 1 tablespoon finely chopped cilantro",chinese
89,Chicken Lo Mein with Ginger Mushrooms ,"12 ounces fresh Chinese thick, round egg noodles 2 teaspoons sesame oil 12 ounces skinless, boneless chicken thigh, cut into 1/4-inch-thick bite-sized slices 1 tablespoon finely shredded ginger 1 teaspoon plus 1 tablespoon Shao Hsing rice wine or dry sherry 1 teaspoon cornstarch 1 teaspoon plus 1 tablespoon soy sauce 1 teaspoon salt 1/4 teaspoon ground white pepper 2 tablespoons peanut or vegetable oil 1/4 teaspoon red pepper flakes 3 cups thinly sliced Napa cabbage (about 5 ounces) 4 ounces fresh shiitake mushrooms, stems removed and caps thinly sliced (about 2 cups) 1/2 cup finely shredded scallions",chinese
90,Dumpling Wrappers ,3 cups all-purpose flour 1 cup boiling water 3 tablespoons cold water,chinese
91,Jiaozi Dumplings ,"2 1/2 cups minced napa cabbage 1/2 teaspoon salt 11 ounces ground pork 2 tablespoons light soy sauce 2 teaspoons Shaoxing rice wine or dry sherry 2 teaspoons toasted sesame oil 1 teaspoon minced fresh ginger 1/2 cup minced green onions, green and white parts 1/8 teaspoon freshly ground black pepper About 60 round Dumpling Wrappers (purchased premade, or see sub-recipe ) Chinese black rice vinegar, for dipping",chinese
92,Chicken Lettuce Cups ,"2 tablespoons light soy sauce 1 tablespoon hoisin sauce 2 tablespoons clear rice vinegar 1/2 teaspoon salt 1/2 teaspoon sugar 3 tablespoons vegetable oil 2 cloves garlic, minced 2 teaspoons minced fresh ginger 1/3 cup minced red onion 1 cup chopped canned button mushrooms 1/2 cup water chestnuts, minced 1 pound boneless, skinless chicken breasts, minced 8 to 10 inner leaves iceberg lettuce, edges trimmed and chilled Handful of fresh cilantro leaves, coarsely chopped 1/4 cup unsalted roasted cashews, coarsely chopped",chinese
93,Chinatown Char Siu Barbeque Ribs or Pork ,"1/2 cup hoisin sauce 1/2 cup brandy, rum, or bourbon 1/4 cup honey 1/4 cup soy sauce 2 tablespoons dark sesame oil 2 tablespoons hot sauce, such as Asian chile sauce or Tabasco 2 tablespoons ground ginger or minced fresh ginger 2 teaspoons garlic powder or minced fresh garlic 2 teaspoons Chinese five-spice powder 2 tablespoons onion powder 2 teaspoons red food coloring 2 slabs baby back ribs, cut in half lengthwise through all the bones 1/4 cup honey or char siu sauce Chopped fresh chives, for garnish",chinese
94,Onion Oil ,"1 3/4 cups peanut oil 1 pound onions, very thinly sliced (4 cups)",chinese
95,Pot Stickers ,"4 cups water 1 tablespoon salt plus 1 teaspoon 1/2 teaspoon baking soda (optional) 3/4 cup sliced bok choy stalks (1/4-inch-wide pieces) 1 1/2 cups firmly packed sliced bok choy leaves (1/4-inch-wide pieces) 14 ounces ground pork 1/3 cup finely sliced scallions 2 teaspoons peeled and grated ginger 2 teaspoons white rice wine 1 medium egg, lightly beaten 1 1/2 teaspoons light soy sauce 2 teaspoons sesame oil 2 teaspoons sugar Pinch of white pepper 2 tablespoons cornstarch 2 cups Pillsbury Best All-Purpose Flour 3/4 cup plus 2 tablespoons water 6 tablespoons peanut oil 1 cup water",chinese
96,Sweet Walnuts ,10 cups water; plus 6 tablespoons for glaze 12 ounces (about 4 cups) walnut halves 6 tablespoons sugar 5 cups peanut oil,chinese
97,Sichuan Beef Noodle Soup with Pickled Mustard Greens ,"5 pounds boneless beef shank 1/4 cup vegetable oil 1 2 1/2-inch piece fresh ginger, peeled, cut into 1/3-inch-thick rounds, each smashed with flat side of knife 3 large garlic cloves, coarsely chopped 2 cups chopped onions 2 1/2 tablespoons chili bean paste (Sichuan hot bean paste; dou ban jiang) 3 whole green onions, trimmed, plus 2 cups chopped green onions (for garnish) 1/2 cup (or more) soy sauce (do not use low-sodium) 2 tablespoons (or more) salt 6 whole star anise 2 1 1/2-inch cubes Chinese yellow rock sugar (about 2 1/2 ounces) or 2 1/2 tablespoons sugar 1/2 tablespoon Sichuan peppercorns 2 large plum tomatoes (about 8 ounces), each cut into 4 wedges Freshly ground white pepper or black pepper 1 pound eggless Chinese wheat noodles (Shandong la mian) 3 baby bok choy, each halved lengthwise, bottom 1 1/2 inches trimmed, rinsed (optional garnish) Chopped fresh cilantro (for garnish) Pickled Mustard Greens",chinese
98,Pickled Mustard Greens ,"2 10-ounce packages pickled mustard greens (such as Caravelle brand cai chua)* 1/4 cup vegetable oil 2 garlic cloves, minced 2 tablespoons sugar 1/4 teaspoon salt 1 red jalapeño chile, seeded, chopped",chinese
99,Duck Pizza with Hoisin and Scallions ,"1 duck (or chicken) breast, fat trimmed 1/2 teaspoon Chinese five-spice powder 1/4 teaspoon salt 1/8 teaspoon freshly ground black pepper 1 teaspoon olive oil 1/2 pound whole-wheat pizza dough 3 tablespoons hoisin sauce 1 cup baby spinach, chopped 1/2 cup shredded part-skim mozzarella 1/2 red bell pepper, cored, seeded and diced 4 scallions, thinly sliced 2 tablespoons black sesame seeds",chinese
